AUTH,2010,2011,2012,2013,2014,2015,2016,2010Time1000,2011Time1000,2012Time1000,2013Time1000,2014Time1000,2015Time1000,2016Time1000
E06000001,1,0,2,0,1,4,4,1000,0,2000,0,1000,4000,4000
E06000002,20,5,7,6,5,5,2,20000,5000,7000,6000,5000,5000,2000
E06000003,1,1,1,3,0,3,0,1000,1000,1000,3000,0,3000,0
E06000004,0,0,0,0,1,3,4,0,0,0,0,1000,3000,4000
E06000005,2,0,1,2,1,1,5,2000,0,1000,2000,1000,1000,5000
E06000006,0,0,0,2,1,1,3,0,0,0,2000,1000,1000,3000
E06000007,7,11,7,11,5,5,5,7000,11000,7000,11000,5000,5000,5000
E06000008,1,2,2,0,0,2,2,1000,2000,2000,0,0,2000,2000
E06000009,4,5,3,1,3,5,11,4000,5000,3000,1000,3000,5000,11000
E06000010,7,15,10,13,10,23,15,7000,15000,10000,13000,10000,23000,15000
E06000011,11,15,11,8,9,16,13,11000,15000,11000,8000,9000,16000,13000
E06000012,4,2,9,6,7,6,13,4000,2000,9000,6000,7000,6000,13000
E06000013,7,16,15,9,6,6,11,7000,16000,15000,9000,6000,6000,11000
E06000014,2,2,8,9,13,18,18,2000,2000,8000,9000,13000,18000,18000
E06000015,4,21,24,47,26,10,21,4000,21000,24000,47000,26000,10000,21000
E06000016,19,50,11,11,19,22,36,19000,50000,11000,11000,19000,22000,36000
E06000017,2,2,0,0,0,0,2,2000,2000,0,0,0,0,2000
E06000018,3,10,7,9,9,14,35,3000,10000,7000,9000,9000,14000,35000
E06000019,42,14,26,23,12,12,21,42000,14000,26000,23000,12000,12000,21000
E06000020,2,8,11,6,4,8,9,2000,8000,11000,6000,4000,8000,9000
E06000021,2,16,2,16,15,14,17,2000,16000,2000,16000,15000,14000,17000
E06000022,9,4,22,33,27,22,25,9000,4000,22000,33000,27000,22000,25000
E06000023,8,8,9,41,41,97,74,8000,8000,9000,41000,41000,97000,74000
E06000024,2,2,2,1,7,6,8,2000,2000,2000,1000,7000,6000,8000
E06000025,2,1,2,1,1,3,3,2000,1000,2000,1000,1000,3000,3000
E06000026,9,18,10,9,13,12,20,9000,18000,10000,9000,13000,12000,20000
E06000027,6,3,6,5,17,21,20,6000,3000,6000,5000,17000,21000,20000
E06000028,12,16,11,16,31,47,39,12000,16000,11000,16000,31000,47000,39000
E06000029,9,10,16,7,7,10,11,9000,10000,16000,7000,7000,10000,11000
E06000030,6,7,6,6,10,18,28,6000,7000,6000,6000,10000,18000,28000
E06000031,21,17,12,11,17,15,21,21000,17000,12000,11000,17000,15000,21000
E06000032,3,3,25,22,33,53,76,3000,3000,25000,22000,33000,53000,76000
E06000033,8,8,15,19,14,40,44,8000,8000,15000,19000,14000,40000,44000
E06000034,2,8,6,3,10,7,4,2000,8000,6000,3000,10000,7000,4000
E06000035,7,12,17,6,2,14,14,7000,12000,17000,6000,2000,14000,14000
E06000036,1,1,1,2,4,5,10,1000,1000,1000,2000,4000,5000,10000
E06000037,5,6,11,8,23,15,14,5000,6000,11000,8000,23000,15000,14000
E06000038,6,5,4,8,12,16,22,6000,5000,4000,8000,12000,16000,22000
E06000039,14,7,8,30,26,17,25,14000,7000,8000,30000,26000,17000,25000
E06000040,6,7,4,7,6,35,8,6000,7000,4000,7000,6000,35000,8000
E06000041,1,2,2,3,2,14,11,1000,2000,2000,3000,2000,14000,11000
E06000042,6,8,6,8,14,29,38,6000,8000,6000,8000,14000,29000,38000
E06000043,14,37,43,50,41,78,144,14000,37000,43000,50000,41000,78000,144000
E06000044,5,11,11,7,8,15,37,5000,11000,11000,7000,8000,15000,37000
E06000045,5,24,18,13,19,31,23,5000,24000,18000,13000,19000,31000,23000
E06000046,1,9,2,9,4,4,16,1000,9000,2000,9000,4000,4000,16000
E06000047,2,2,11,3,13,3,12,2000,2000,11000,3000,13000,3000,12000
E06000049,0,3,3,4,12,0,4,0,3000,3000,4000,12000,0,4000
E06000050,2,4,3,0,5,5,7,2000,4000,3000,0,5000,5000,7000
E06000051,10,13,10,12,10,7,13,10000,13000,10000,12000,10000,7000,13000
E06000052,65,80,50,77,40,65,99,65000,80000,50000,77000,40000,65000,99000
E06000053,0,0,0,0,0,0,1,0,0,0,0,0,0,1000
E06000054,13,6,14,5,9,23,18,13000,6000,14000,5000,9000,23000,18000
E06000055,12,17,19,26,25,51,59,12000,17000,19000,26000,25000,51000,59000
E06000056,5,5,11,13,18,10,19,5000,5000,11000,13000,18000,10000,19000
E06000057,6,5,3,2,6,5,0,6000,5000,3000,2000,6000,5000,0
E07000004,10,10,4,14,17,15,26,10000,10000,4000,14000,17000,15000,26000
E07000005,0,0,2,4,3,1,1,0,0,2000,4000,3000,1000,1000
E07000006,0,0,0,2,0,0,4,0,0,0,2000,0,0,4000
E07000007,15,14,1,9,9,11,13,15000,14000,1000,9000,9000,11000,13000
E07000008,6,12,20,9,10,18,40,6000,12000,20000,9000,10000,18000,40000
E07000009,3,4,3,2,1,1,4,3000,4000,3000,2000,1000,1000,4000
E07000010,11,7,8,10,7,6,7,11000,7000,8000,10000,7000,6000,7000
E07000011,1,2,2,1,3,2,3,1000,2000,2000,1000,3000,2000,3000
E07000012,0,1,0,2,1,0,0,0,1000,0,2000,1000,0,0
E07000026,1,1,1,3,3,0,3,1000,1000,1000,3000,3000,0,3000
E07000027,2,5,2,1,0,4,4,2000,5000,2000,1000,0,4000,4000
E07000028,1,1,1,6,0,0,1,1000,1000,1000,6000,0,0,1000
E07000029,1,2,0,0,1,2,0,1000,2000,0,0,1000,2000,0
E07000030,0,0,1,0,0,3,0,0,0,1000,0,0,3000,0
E07000031,2,8,4,1,0,0,3,2000,8000,4000,1000,0,0,3000
E07000032,2,3,2,6,6,4,4,2000,3000,2000,6000,6000,4000,4000
E07000033,2,1,2,4,2,4,7,2000,1000,2000,4000,2000,4000,7000
E07000034,6,4,3,9,8,0,10,6000,4000,3000,9000,8000,0,10000
E07000035,0,3,2,3,3,3,2,0,3000,2000,3000,3000,3000,2000
E07000036,1,3,4,4,5,1,4,1000,3000,4000,4000,5000,1000,4000
E07000037,1,1,2,2,2,3,1,1000,1000,2000,2000,2000,3000,1000
E07000038,0,1,5,0,2,3,2,0,1000,5000,0,2000,3000,2000
E07000039,1,1,1,0,2,1,1,1000,1000,1000,0,2000,1000,1000
E07000040,3,8,5,4,6,8,5,3000,8000,5000,4000,6000,8000,5000
E07000041,21,29,30,23,34,27,41,21000,29000,30000,23000,34000,27000,41000
E07000042,0,5,3,1,4,7,4,0,5000,3000,1000,4000,7000,4000
E07000043,12,16,11,7,11,28,16,12000,16000,11000,7000,11000,28000,16000
E07000044,5,6,7,8,7,9,3,5000,6000,7000,8000,7000,9000,3000
E07000045,3,8,4,0,4,1,3,3000,8000,4000,0,4000,1000,3000
E07000046,10,4,1,3,5,0,2,10000,4000,1000,3000,5000,0,2000
E07000047,3,4,2,0,2,0,0,3000,4000,2000,0,2000,0,0
E07000048,0,0,8,1,2,8,10,0,0,8000,1000,2000,8000,10000
E07000049,0,0,1,0,0,3,0,0,0,1000,0,0,3000,0
E07000050,3,6,2,0,0,0,1,3000,6000,2000,0,0,0,1000
E07000051,2,3,1,1,0,5,2,2000,3000,1000,1000,0,5000,2000
E07000052,2,2,4,3,0,6,2,2000,2000,4000,3000,0,6000,2000
E07000053,3,2,5,6,8,6,11,3000,2000,5000,6000,8000,6000,11000
E07000061,6,3,11,6,11,10,19,6000,3000,11000,6000,11000,10000,19000
E07000062,3,5,3,15,12,16,26,3000,5000,3000,15000,12000,16000,26000
E07000063,4,3,0,0,0,9,3,4000,3000,0,0,0,9000,3000
E07000064,6,5,5,5,0,5,1,6000,5000,5000,5000,0,5000,1000
E07000065,0,0,0,0,1,0,7,0,0,0,0,1000,0,7000
E07000066,9,9,6,4,0,13,17,9000,9000,6000,4000,0,13000,17000
E07000067,1,8,4,1,3,4,1,1000,8000,4000,1000,3000,4000,1000
E07000068,1,0,1,0,0,0,1,1000,0,1000,0,0,0,1000
E07000069,1,1,1,2,0,0,0,1000,1000,1000,2000,0,0,0
E07000070,10,9,8,11,10,12,14,10000,9000,8000,11000,10000,12000,14000
E07000071,10,24,25,35,2,9,20,10000,24000,25000,35000,2000,9000,20000
E07000072,0,0,0,2,3,1,2,0,0,0,2000,3000,1000,2000
E07000073,7,9,9,8,19,15,20,7000,9000,9000,8000,19000,15000,20000
E07000074,1,1,0,0,1,1,3,1000,1000,0,0,1000,1000,3000
E07000075,0,0,1,1,0,0,0,0,0,1000,1000,0,0,0
E07000076,0,5,2,3,7,7,5,0,5000,2000,3000,7000,7000,5000
E07000077,0,0,0,2,3,2,0,0,0,0,2000,3000,2000,0
E07000078,1,3,6,3,0,1,11,1000,3000,6000,3000,0,1000,11000
E07000079,7,5,4,2,4,4,6,7000,5000,4000,2000,4000,4000,6000
E07000080,2,2,1,0,0,2,0,2000,2000,1000,0,0,2000,0
E07000081,14,8,11,11,17,13,23,14000,8000,11000,11000,17000,13000,23000
E07000082,4,5,5,5,1,1,2,4000,5000,5000,5000,1000,1000,2000
E07000083,2,2,2,1,4,0,0,2000,2000,2000,1000,4000,0,0
E07000084,3,4,8,5,8,20,26,3000,4000,8000,5000,8000,20000,26000
E07000085,3,2,2,2,1,1,2,3000,2000,2000,2000,1000,1000,2000
E07000086,2,3,2,2,1,0,0,2000,3000,2000,2000,1000,0,0
E07000087,6,3,1,8,8,6,18,6000,3000,1000,8000,8000,6000,18000
E07000088,4,2,1,6,1,4,6,4000,2000,1000,6000,1000,4000,6000
E07000089,0,1,1,1,1,1,0,0,1000,1000,1000,1000,1000,0
E07000090,5,3,3,0,3,10,8,5000,3000,3000,0,3000,10000,8000
E07000091,1,4,4,3,9,2,4,1000,4000,4000,3000,9000,2000,4000
E07000092,0,3,4,7,11,15,9,0,3000,4000,7000,11000,15000,9000
E07000093,2,7,6,6,7,3,5,2000,7000,6000,6000,7000,3000,5000
E07000094,5,9,7,11,14,5,4,5000,9000,7000,11000,14000,5000,4000
E07000095,1,10,4,6,1,0,3,1000,10000,4000,6000,1000,0,3000
E07000096,7,4,7,9,7,4,6,7000,4000,7000,9000,7000,4000,6000
E07000098,0,0,1,2,3,10,7,0,0,1000,2000,3000,10000,7000
E07000099,8,2,2,0,3,5,2,8000,2000,2000,0,3000,5000,2000
E07000102,2,1,4,0,0,1,1,2000,1000,4000,0,0,1000,1000
E07000103,8,5,8,15,22,12,13,8000,5000,8000,15000,22000,12000,13000
E07000105,2,7,4,1,5,5,8,2000,7000,4000,1000,5000,5000,8000
E07000106,3,22,20,22,38,47,50,3000,22000,20000,22000,38000,47000,50000
E07000107,0,15,16,12,19,10,9,0,15000,16000,12000,19000,10000,9000
E07000108,8,14,5,5,4,9,9,8000,14000,5000,5000,4000,9000,9000
E07000109,1,8,10,8,3,6,12,1000,8000,10000,8000,3000,6000,12000
E07000110,27,19,19,14,25,38,35,27000,19000,19000,14000,25000,38000,35000
E07000111,0,1,2,2,0,6,2,0,1000,2000,2000,0,6000,2000
E07000112,9,12,5,4,4,13,9,9000,12000,5000,4000,4000,13000,9000
E07000113,0,2,6,5,2,6,6,0,2000,6000,5000,2000,6000,6000
E07000114,1,9,8,14,15,17,33,1000,9000,8000,14000,15000,17000,33000
E07000115,1,4,3,4,7,0,4,1000,4000,3000,4000,7000,0,4000
E07000116,9,13,10,12,15,15,15,9000,13000,10000,12000,15000,15000,15000
E07000117,3,2,2,2,2,3,4,3000,2000,2000,2000,2000,3000,4000
E07000118,2,0,0,1,0,1,0,2000,0,0,1000,0,1000,0
E07000119,6,0,2,4,6,1,5,6000,0,2000,4000,6000,1000,5000
E07000120,1,2,2,3,4,4,2,1000,2000,2000,3000,4000,4000,2000
E07000121,2,4,4,5,6,8,8,2000,4000,4000,5000,6000,8000,8000
E07000122,2,1,2,1,1,0,1,2000,1000,2000,1000,1000,0,1000
E07000123,3,8,3,5,8,8,17,3000,8000,3000,5000,8000,8000,17000
E07000124,0,0,1,1,1,2,1,0,0,1000,1000,1000,2000,1000
E07000125,2,1,4,2,2,0,1,2000,1000,4000,2000,2000,0,1000
E07000126,3,5,3,3,2,0,2,3000,5000,3000,3000,2000,0,2000
E07000127,0,1,1,1,0,1,0,0,1000,1000,1000,0,1000,0
E07000128,0,0,0,1,2,1,0,0,0,0,1000,2000,1000,0
E07000129,0,0,1,0,0,0,0,0,0,1000,0,0,0,0
E07000130,3,2,3,4,4,3,1,3000,2000,3000,4000,4000,3000,1000
E07000131,0,0,0,0,0,2,1,0,0,0,0,0,2000,1000
E07000132,0,1,2,3,2,1,1,0,1000,2000,3000,2000,1000,1000
E07000133,0,0,1,1,0,0,0,0,0,1000,1000,0,0,0
E07000134,3,1,1,0,0,0,1,3000,1000,1000,0,0,0,1000
E07000135,1,0,2,1,1,2,1,1000,0,2000,1000,1000,2000,1000
E07000136,9,9,7,5,4,7,5,9000,9000,7000,5000,4000,7000,5000
E07000137,7,10,3,2,1,6,7,7000,10000,3000,2000,1000,6000,7000
E07000138,8,9,5,11,8,14,12,8000,9000,5000,11000,8000,14000,12000
E07000139,0,0,0,0,0,0,3,0,0,0,0,0,0,3000
E07000140,6,0,1,2,6,3,4,6000,0,1000,2000,6000,3000,4000
E07000141,1,0,1,1,2,2,1,1000,0,1000,1000,2000,2000,1000
E07000142,3,3,0,0,1,0,1,3000,3000,0,0,1000,0,1000
E07000143,8,5,7,4,6,4,3,8000,5000,7000,4000,6000,4000,3000
E07000144,0,3,1,1,1,1,0,0,3000,1000,1000,1000,1000,0
E07000145,4,10,6,7,12,9,7,4000,10000,6000,7000,12000,9000,7000
E07000146,8,5,6,3,3,5,42,8000,5000,6000,3000,3000,5000,42000
E07000147,3,0,2,5,1,3,2,3000,0,2000,5000,1000,3000,2000
E07000148,4,6,6,5,13,13,34,4000,6000,6000,5000,13000,13000,34000
E07000149,0,3,0,0,0,0,0,0,3000,0,0,0,0,0
E07000150,4,10,2,10,9,10,6,4000,10000,2000,10000,9000,10000,6000
E07000151,6,2,0,0,1,1,4,6000,2000,0,0,1000,1000,4000
E07000152,3,3,3,3,3,3,4,3000,3000,3000,3000,3000,3000,4000
E07000153,3,1,7,11,6,5,3,3000,1000,7000,11000,6000,5000,3000
E07000154,4,15,5,9,19,25,14,4000,15000,5000,9000,19000,25000,14000
E07000155,0,0,6,2,2,0,3,0,0,6000,2000,2000,0,3000
E07000156,0,0,4,7,5,7,5,0,0,4000,7000,5000,7000,5000
E07000163,1,2,0,2,3,3,1,1000,2000,0,2000,3000,3000,1000
E07000164,1,0,1,0,0,0,0,1000,0,1000,0,0,0,0
E07000165,14,5,8,2,6,7,8,14000,5000,8000,2000,6000,7000,8000
E07000166,0,0,3,0,0,0,0,0,0,3000,0,0,0,0
E07000167,2,1,0,0,0,2,1,2000,1000,0,0,0,2000,1000
E07000168,2,5,4,7,5,5,8,2000,5000,4000,7000,5000,5000,8000
E07000169,1,1,1,1,0,0,0,1000,1000,1000,1000,0,0,0
E07000170,1,2,3,12,4,8,9,1000,2000,3000,12000,4000,8000,9000
E07000171,1,1,2,17,18,23,10,1000,1000,2000,17000,18000,23000,10000
E07000172,1,1,1,0,0,0,1,1000,1000,1000,0,0,0,1000
E07000173,1,1,0,0,0,0,0,1000,1000,0,0,0,0,0
E07000174,7,7,9,5,8,8,27,7000,7000,9000,5000,8000,8000,27000
E07000175,4,5,5,4,5,10,6,4000,5000,5000,4000,5000,10000,6000
E07000176,4,5,0,1,0,3,0,4000,5000,0,1000,0,3000,0
E07000177,0,0,2,14,14,21,17,0,0,2000,14000,14000,21000,17000
E07000178,11,8,12,19,26,39,33,11000,8000,12000,19000,26000,39000,33000
E07000179,1,0,0,5,3,5,7,1000,0,0,5000,3000,5000,7000
E07000180,0,0,0,5,5,5,8,0,0,0,5000,5000,5000,8000
E07000181,1,5,5,2,3,3,0,1000,5000,5000,2000,3000,3000,0
E07000187,16,21,19,16,20,20,16,16000,21000,19000,16000,20000,20000,16000
E07000188,4,9,5,2,4,6,2,4000,9000,5000,2000,4000,6000,2000
E07000189,0,9,1,1,2,5,8,0,9000,1000,1000,2000,5000,8000
E07000190,12,25,15,7,18,21,20,12000,25000,15000,7000,18000,21000,20000
E07000191,0,0,0,2,6,4,2,0,0,0,2000,6000,4000,2000
E07000192,0,2,1,2,5,4,4,0,2000,1000,2000,5000,4000,4000
E07000193,4,4,7,2,3,7,6,4000,4000,7000,2000,3000,7000,6000
E07000194,1,0,1,3,1,3,1,1000,0,1000,3000,1000,3000,1000
E07000195,1,4,1,4,3,7,0,1000,4000,1000,4000,3000,7000,0
E07000196,3,3,1,0,0,2,1,3000,3000,1000,0,0,2000,1000
E07000197,1,2,1,4,2,5,15,1000,2000,1000,4000,2000,5000,15000
E07000198,0,1,3,3,2,4,2,0,1000,3000,3000,2000,4000,2000
E07000199,2,3,3,3,2,5,8,2000,3000,3000,3000,2000,5000,8000
E07000200,2,0,2,4,0,2,7,2000,0,2000,4000,0,2000,7000
E07000201,2,3,1,1,2,4,6,2000,3000,1000,1000,2000,4000,6000
E07000202,13,7,7,5,8,16,27,13000,7000,7000,5000,8000,16000,27000
E07000203,0,0,2,0,0,2,1,0,0,2000,0,0,2000,1000
E07000204,1,1,3,2,3,7,15,1000,1000,3000,2000,3000,7000,15000
E07000205,3,2,2,2,2,4,6,3000,2000,2000,2000,2000,4000,6000
E07000206,3,5,8,6,3,6,20,3000,5000,8000,6000,3000,6000,20000
E07000207,4,1,3,3,2,7,4,4000,1000,3000,3000,2000,7000,4000
E07000208,1,3,4,4,7,6,3,1000,3000,4000,4000,7000,6000,3000
E07000209,6,4,10,8,10,14,13,6000,4000,10000,8000,10000,14000,13000
E07000210,0,0,2,2,4,3,1,0,0,2000,2000,4000,3000,1000
E07000211,4,5,6,6,7,3,1,4000,5000,6000,6000,7000,3000,1000
E07000212,1,8,6,2,13,3,5,1000,8000,6000,2000,13000,3000,5000
E07000213,1,2,3,7,5,12,18,1000,2000,3000,7000,5000,12000,18000
E07000214,0,2,1,0,4,18,12,0,2000,1000,0,4000,18000,12000
E07000215,1,2,1,1,2,2,2,1000,2000,1000,1000,2000,2000,2000
E07000216,0,2,0,3,0,2,4,0,2000,0,3000,0,2000,4000
E07000217,2,2,2,8,9,12,12,2000,2000,2000,8000,9000,12000,12000
E07000218,1,2,1,1,0,5,6,1000,2000,1000,1000,0,5000,6000
E07000219,2,2,1,2,6,1,2,2000,2000,1000,2000,6000,1000,2000
E07000220,12,3,19,6,2,19,0,12000,3000,19000,6000,2000,19000,0
E07000221,8,12,9,8,9,9,13,8000,12000,9000,8000,9000,9000,13000
E07000222,12,13,11,14,14,19,18,12000,13000,11000,14000,14000,19000,18000
E07000223,0,0,0,1,2,0,3,0,0,0,1000,2000,0,3000
E07000224,25,10,26,18,13,15,19,25000,10000,26000,18000,13000,15000,19000
E07000225,15,15,26,19,14,17,19,15000,15000,26000,19000,14000,17000,19000
E07000226,16,11,17,17,21,33,15,16000,11000,17000,17000,21000,33000,15000
E07000227,6,2,2,5,2,3,6,6000,2000,2000,5000,2000,3000,6000
E07000228,3,5,6,6,11,6,7,3000,5000,6000,6000,11000,6000,7000
E07000229,5,7,8,17,17,19,11,5000,7000,8000,17000,17000,19000,11000
E07000234,7,3,3,1,3,4,2,7000,3000,3000,1000,3000,4000,2000
E07000235,4,3,6,2,3,4,1,4000,3000,6000,2000,3000,4000,1000
E07000236,1,3,3,2,3,0,5,1000,3000,3000,2000,3000,0,5000
E07000237,7,17,34,21,22,27,10,7000,17000,34000,21000,22000,27000,10000
E07000238,14,14,6,12,8,1,2,14000,14000,6000,12000,8000,1000,2000
E07000239,7,1,9,8,5,5,1,7000,1000,9000,8000,5000,5000,1000
E07000240,2,11,9,16,11,19,13,2000,11000,9000,16000,11000,19000,13000
E07000241,1,1,2,1,1,14,3,1000,1000,2000,1000,1000,14000,3000
E07000242,7,3,4,2,5,5,9,7000,3000,4000,2000,5000,5000,9000
E07000243,7,5,4,13,8,5,17,7000,5000,4000,13000,8000,5000,17000
E08000001,2,1,1,1,4,8,8,2000,1000,1000,1000,4000,8000,8000
E08000002,3,9,3,10,0,9,3,3000,9000,3000,10000,0,9000,3000
E08000003,7,15,27,24,43,70,78,7000,15000,27000,24000,43000,70000,78000
E08000004,1,0,1,2,0,2,3,1000,0,1000,2000,0,2000,3000
E08000005,5,5,8,6,17,2,12,5000,5000,8000,6000,17000,2000,12000
E08000006,4,11,10,7,14,16,26,4000,11000,10000,7000,14000,16000,26000
E08000007,1,0,4,3,7,9,10,1000,0,4000,3000,7000,9000,10000
E08000008,9,7,0,2,7,14,19,9000,7000,0,2000,7000,14000,19000
E08000009,3,1,2,2,2,1,2,3000,1000,2000,2000,2000,1000,2000
E08000010,6,11,15,13,7,3,28,6000,11000,15000,13000,7000,3000,28000
E08000011,1,1,3,1,0,1,2,1000,1000,3000,1000,0,1000,2000
E08000012,3,9,6,6,8,15,21,3000,9000,6000,6000,8000,15000,21000
E08000013,2,2,2,1,0,2,2,2000,2000,2000,1000,0,2000,2000
E08000014,4,6,7,9,11,4,4,4000,6000,7000,9000,11000,4000,4000
E08000015,4,5,7,7,5,8,11,4000,5000,7000,7000,5000,8000,11000
E08000016,3,2,5,0,3,9,2,3000,2000,5000,0,3000,9000,2000
E08000017,5,2,1,9,9,9,13,5000,2000,1000,9000,9000,9000,13000
E08000018,0,1,5,5,3,3,6,0,1000,5000,5000,3000,3000,6000
E08000019,8,11,11,17,10,11,15,8000,11000,11000,17000,10000,11000,15000
E08000021,3,6,9,6,7,8,5,3000,6000,9000,6000,7000,8000,5000
E08000022,8,8,3,0,0,1,1,8000,8000,3000,0,0,1000,1000
E08000023,2,0,13,2,1,0,4,2000,0,13000,2000,1000,0,4000
E08000024,3,2,2,1,0,4,4,3000,2000,2000,1000,0,4000,4000
E08000025,9,7,8,14,20,36,55,9000,7000,8000,14000,20000,36000,55000
E08000026,5,8,12,26,6,9,13,5000,8000,12000,26000,6000,9000,13000
E08000027,3,4,4,6,6,3,3,3000,4000,4000,6000,6000,3000,3000
E08000028,2,15,14,3,2,4,11,2000,15000,14000,3000,2000,4000,11000
E08000029,3,5,6,5,6,5,6,3000,5000,6000,5000,6000,5000,6000
E08000030,8,13,9,8,5,7,26,8000,13000,9000,8000,5000,7000,26000
E08000031,9,12,8,6,7,13,18,9000,12000,8000,6000,7000,13000,18000
E08000032,23,30,26,12,10,16,10,23000,30000,26000,12000,10000,16000,10000
E08000033,3,4,2,5,4,2,6,3000,4000,2000,5000,4000,2000,6000
E08000034,5,11,9,4,4,6,5,5000,11000,9000,4000,4000,6000,5000
E08000035,6,11,11,13,15,13,20,6000,11000,11000,13000,15000,13000,20000
E08000036,10,14,17,7,9,5,7,10000,14000,17000,7000,9000,5000,7000
E08000037,1,3,10,0,0,1,4,1000,3000,10000,0,0,1000,4000
E09000001,20,18,21,35,50,48,50,20000,18000,21000,35000,50000,48000,50000
E09000002,2,13,8,0,4,20,5,2000,13000,8000,0,4000,20000,5000
E09000003,7,14,20,24,14,21,22,7000,14000,20000,24000,14000,21000,22000
E09000004,8,4,5,4,7,6,11,8000,4000,5000,4000,7000,6000,11000
E09000005,3,7,11,6,11,55,24,3000,7000,11000,6000,11000,55000,24000
E09000006,2,7,2,5,2,4,3,2000,7000,2000,5000,2000,4000,3000
E09000007,11,7,5,4,5,15,17,11000,7000,5000,4000,5000,15000,17000
E09000008,4,18,22,25,30,51,68,4000,18000,22000,25000,30000,51000,68000
E09000009,5,15,11,15,17,31,27,5000,15000,11000,15000,17000,31000,27000
E09000010,5,3,4,5,8,7,6,5000,3000,4000,5000,8000,7000,6000
E09000011,2,6,5,1,16,14,8,2000,6000,5000,1000,16000,14000,8000
E09000012,8,14,7,12,12,20,17,8000,14000,7000,12000,12000,20000,17000
E09000013,15,8,8,10,8,5,6,15000,8000,8000,10000,8000,5000,6000
E09000014,8,8,6,5,1,22,29,8000,8000,6000,5000,1000,22000,29000
E09000015,4,1,2,4,4,6,10,4000,1000,2000,4000,4000,6000,10000
E09000016,4,3,3,2,8,10,24,4000,3000,3000,2000,8000,10000,24000
E09000017,9,15,20,38,45,36,28,9000,15000,20000,38000,45000,36000,28000
E09000018,8,45,12,17,32,27,34,8000,45000,12000,17000,32000,27000,34000
E09000019,3,5,10,19,21,9,11,3000,5000,10000,19000,21000,9000,11000
E09000020,32,19,27,23,34,24,14,32000,19000,27000,23000,34000,24000,14000
E09000021,5,5,6,11,11,14,23,5000,5000,6000,11000,11000,14000,23000
E09000022,13,18,21,21,18,27,17,13000,18000,21000,21000,18000,27000,17000
E09000023,13,18,43,16,11,9,16,13000,18000,43000,16000,11000,9000,16000
E09000024,6,2,9,9,9,6,11,6000,2000,9000,9000,9000,6000,11000
E09000025,7,10,55,22,16,28,41,7000,10000,55000,22000,16000,28000,41000
E09000026,20,17,14,17,19,43,60,20000,17000,14000,17000,19000,43000,60000
E09000027,6,8,8,15,10,11,19,6000,8000,8000,15000,10000,11000,19000
E09000028,29,10,25,24,22,32,32,29000,10000,25000,24000,22000,32000,32000
E09000029,0,4,4,0,8,6,8,0,4000,4000,0,8000,6000,8000
E09000030,11,9,7,4,6,12,11,11000,9000,7000,4000,6000,12000,11000
E09000031,2,4,15,3,10,33,47,2000,4000,15000,3000,10000,33000,47000
E09000032,15,5,10,7,8,23,5,15000,5000,10000,7000,8000,23000,5000
E09000033,128,106,131,140,265,265,260,128000,106000,131000,140000,265000,265000,260000